Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
82,CJ Green,Kolkata Knight Riders,-24,-0.081,0.001,"$28,600","$437,967"
83,I Sharma,Delhi Capitals,-24,-0.081,0.002,"$157,100","$437,967"
84,SN Khan,Kings XI Punjab,-24,-0.081,0.01,"$35,700","$437,967"
85,AT Carey,Delhi Capitals,-25,-0.084,0.01,"$342,900","$433,307"
86,MK Lomror,Rajasthan Royals,-27,-0.08900000000000001,0.012,"$31,250","$425,541"
87,Mandeep Singh,Kings XI Punjab,-27,-0.09,0.027999999999999997,"$218,750","$423,988"
88,NS Naik,Kolkata Knight Riders,-28,-0.09300000000000001,0.0,"$28,600","$419,328"
89,DR Sams,Delhi Capitals,-28,-0.094,0.004,,"$417,775"
90,DL Chahar,Chennai Super Kings,-31,-0.10400000000000001,0.102,"$125,000","$402,242"
91,S Sandeep Warrier,Kolkata Knight Riders,-31,-0.10400000000000001,0.002,"$16,000","$402,242"
92,JR Hazlewood,Chennai Super Kings,-34,-0.11599999999999999,0.013000000000000001,"$285,700","$383,604"
93,MR Marsh,Sunrisers Hyderabad,-35,-0.11599999999999999,0.0,"$285,700","$383,604"
94,B Kumar,Sunrisers Hyderabad,-39,-0.131,0.023,"$1,328,130","$360,305"
95,Imran Tahir,Chennai Super Kings,-39,-0.131,0.009000000000000001,"$156,250","$360,305"
96,T Banton,Kolkata Knight Riders,-39,-0.131,0.001,"$142,900","$360,305"
97,Shivam Mavi,Kolkata Knight Riders,-39,-0.132,0.051,"$468,750","$358,752"
98,Harpreet Brar,Kings XI Punjab,-40,-0.134,0.002,"$28,600","$355,645"
99,AJ Tye,Rajasthan Royals,-41,-0.138,0.006,"$142,900","$349,432"
100,Avesh Khan,Delhi Capitals,-41,-0.138,0.002,"$109,380","$349,432"
101,KK Nair,Kings XI Punjab,-41,-0.138,0.003,"$875,000","$349,432"
102,K Gowtham,Kings XI Punjab,-42,-0.141,0.022000000000000002,"$900,000","$344,772"
103,Prabhsimran Singh,Kings XI Punjab,-42,-0.141,0.003,"$78,600","$344,772"
104,M Prasidh Krishna,Kolkata Knight Riders,-44,-0.147,0.024,"$15,620","$335,453"
105,Sandeep Sharma,Sunrisers Hyderabad,-46,-0.153,0.086,"$468,750","$326,134"
106,YBK Jaiswal,Rajasthan Royals,-46,-0.153,0.009000000000000001,"$342,900","$326,134"
107,S Nadeem,Sunrisers Hyderabad,-46,-0.156,0.015,"$500,000","$321,474"
108,Kuldeep Yadav,Kolkata Knight Riders,-47,-0.159,0.013999999999999999,"$906,250","$316,814"
